customer_comment,label
"I want safe investment for my savings",yes
"I am not interested in term deposit",no
"I have stable income and prefer fixed return",yes
"I don't like locking my money",no
"Saving for future security",yes
"I already have many loans",no
"I prefer low risk banking product",yes
"Interest rate too low",no
"My salary is stable and I can save",yes
"I need liquidity now",no
"I want safe investmnt",yes
"",no
"I dont like deposit",
"I plan for retirement savings",yes
"Bank interest unattractive",no
"I trust this bank",yes
"I may need my money anytime",no
"Looking for secure option",yes
"Not confident about long term saving",no
"I want guaranteed returns",yes
"I dont have enough savings",no
"My financial condition stable",yes
"Interest not competitive",no
"I want diversify investment",yes
"Economic uncertainty worry me",no
"I prefer secure saving option",yes
"Facing financial difficulty",no
"I like predictable return",yes
"I don't want long commitment",no
"I have extra cash",yes
"I need money for business",no
"Safe banking is important",yes
"Deposit period long",no
"I want stable growth",yes
"Interest not attractive",no
"I save for children education",yes
"I cant lock funds",no
"I like fixed deposit plan",yes
"Risk too high",no
"I want guaranteed income",yes
"My income unstable",no
"I trust regulated bank",yes
"I prefer flexible option",no
"I prepare for emergency",yes
"I invested elsewhere",no
"I need steady return",yes
"No benefit in deposit",no
"I want financial stability",yes
"Money needed urgent",no
"I feel safe with deposit",yes
"I dislike fixed saving",no
"I have good credit history",yes
"My budget tight",no
"I want secure long term saving",yes
"I dont trust long commitment",no
"I like stable interest",yes
"I need flexible withdrawal",no
"I prefer safe plan",yes
"I dont want risk",no
"I want monthly fixed return",yes
"Income not consistent",no
"I want reliable investment",yes
"I may change job soon",no
"I save regularly every month",yes
"I need cash flow freedom",no
"I want protection for savings",yes
"I think interest too small",no
"I like low risk finance",yes
"I dont have stable job",no
"I want steady passive income",yes
"I need emergency fund access",no
"I prefer safe banking choice",yes
"I dislike long lock period",no
"I want fixed income option",yes
"I not ready to invest",no
"I want simple saving product",yes
"I dont understand deposit rule",no
"I trust bank stability",yes
"I worry about inflation",no
"I want long term financial plan",yes
"I need flexibility",no
"I like guaranteed plan",yes
"I afraid to lose money",no
"I want secure retirement fund",yes
"I unstable income situation",no
"I prefer safe savings method",yes
"I need quick access money",no
"I want deposit security",yes
"I dont like low interest",no
"I want protect my capital",yes
"I have debt to pay",no
"I want fixed low risk return",yes
"I not confident in economy",no
"I choose secure bank product",yes
"I cannot afford commitment",no
"I like safe financial growth",yes
"I prefer liquid asset",no
"I want stable saving strategy",yes
"I have irregular income",no
"I need reliable bank option",yes
"I want free cash use",no
"I prefer predictable banking",yes
"I not satisfied interest",no
"I want safety for money",yes
"I might need funds soon",no
"I like secure deposit plan",yes
"I worry about future job",no
"I want safe interest earning",yes
"I dont want to commit",no
"I want stable saving",yes
"I dont like long period deposit",no
"I like guaranteed banking return",yes
"I need short term money",no
"I want reliable savings",yes
"I unsure about economy",no
"I prefer fixed saving product",yes
"I need flexibility option",no
"I want capital protection",yes
"I dont see advantage",no
"I want low volatility saving",yes
"I unstable work income",no
"I like structured saving plan",yes
"I want high liquidity",no
"I prefer safe investment tool",yes
"I dont trust long term contract",no
"I want consistent return",yes
"I job not stable",no
"I like fixed deposit security",yes
"I need accessible fund",no
"I want financial safety",yes
"I not ready long invest",no
"I want long term secure saving",yes
"I emergency may happen",no
"I like stable deposit option",yes
"I dont want risk product",no
"I want secure banking service",yes
"I facing money issue",no
"I prefer guaranteed saving",yes
"I might relocate soon",no
"I want safe future planning",yes
"I low salary currently",no
"I like deposit interest stability",yes
"I cant lock long term",no
"I want fixed financial growth",yes
"I uncertain about income",no
"I choose stable deposit",yes
"I need flexible money",no
"I want dependable bank saving",yes
"I not comfortable deposit",no
"I prefer safe financial choice",yes
"I have short term goal",no
"I want fixed saving income",yes
"I unstable financial state",no
"I like guaranteed secure return",yes
"I dont understand condition",no
"I want minimal risk option",yes
"I may need funds anytime",no
"I prefer low risk deposit",yes
"I job change soon",no
"I want safe monthly return",yes
"I no stable cashflow",no
"I like secure banking plan",yes
"I emergency expenses high",no
"I want stable deposit income",yes
"I unsure about future",no
"I prefer reliable deposit product",yes
"I money tight now",no
"I want secure wealth growth",yes
"I dont like fixed lock",no
"I want financial predictability",yes
"I unstable monthly income",no
"I choose secure saving plan",yes
"I need quick withdrawal",no
"I want guaranteed financial safety",yes
"I worried about expenses",no
"I prefer steady interest rate",yes
"I cant risk money",no
"I want long term protection",yes
"I job situation unclear",no
"I like consistent deposit earning",yes
"I need high flexibility",no
"I want safe investment strategy",yes
"I unsure about bank policy",no
